Name,Card,Type,Set,Primary Function,Secondary Function
Jack,Jack,None,Base,Spend to lead or follow any role.,
Merchant Bonus,Merchant Bonus,Brick/Legionary,Base,INFLUENCE: You get +3 points when scoring if you have sold more BRICK than each other player.,
Merchant Bonus,Merchant Bonus,Concrete/Architect,Base,INFLUENCE: You get +3 points when scoring if you have sold more CONCRETE than each other player.,
Merchant Bonus,Merchant Bonus,Marble/Patron,Base,INFLUENCE: You get +3 points when scoring if you have sold more MARBLE than each other player.,
Merchant Bonus,Merchant Bonus,Rubble/Laborer,Base,INFLUENCE: You get +3 points when scoring if you have sold more RUBBLE than each other player.,
Merchant Bonus,Merchant Bonus,Stone/Merchant,Base,INFLUENCE: You get +3 points when scoring if you have sold more STONE than each other player.,
Merchant Bonus,Merchant Bonus,Wood/Craftsman,Base,INFLUENCE: You get +3 points when scoring if you have sold more WOOD than each other player.,
Academy,Order,Brick/Legionary,Base,"END OF ROUND: If you took a CRAFTSMAN action, you may THINK.",
Archway,Order,Brick/Legionary,Base,ARCHITECT: You may add material to structures from the pool instead of your stockpile.,
Atrium,Order,Brick/Legionary,Base,"MERCHANT: You may sell material from the top of the deck instead of your stockpile. If you do, don’t look at it until scoring.",
Bath,Order,Brick/Legionary,Base,"CLIENTELE: When you hire a client, you may then take its action.",
Foundry,Order,Brick/Legionary,Base,COMPLETION: You may take a LABORER action for each point of influence you have.,
Gate,Order,Brick/Legionary,Base,BUILDING STRUCTURES: You immediately gain the functions of your MARBLE structures and your structures with MARBLE added to them.,
School,Order,Brick/Legionary,Base,COMPLETION: You may THINK  for each point of influence you have.,
Shrine,Order,Brick/Legionary,Base,THINK: Your hand size is increased by +2.,
Castra Praetoria,Order,Brick/Legionary,Promo,COMPLETION: You may hire any of this structure’s materials.,LEGIONARY: You may make demands with your incomplete structures instead of cards from your hand.
Watermill,Order,Brick/Legionary,Promo,"LEAD / FOLLOW: When you lead or follow the LABORER role, after taking all of your LABORER  clients’ actions, you may then take your ARCHITECT clients’ actions.",
Amphitheatre,Order,Concrete/Architect,Base,COMPLETION: You may take a CRAFTSMAN action for each point of influence you have.,
Aqueduct,Order,Concrete/Architect,Base,CLIENTELE: Your influence limit is multiplied by x2.,PATRON: You may also hire a client from your hand.
Bridge,Order,Concrete/Architect,Base,LEGIONARY: You affect each other player instead of only those next to you and despite the functions of PALISADE structures.,LEGIONARY: You may also stockpile a material that matches the demanded material from each affected player’s stockpile.
Storeroom,Order,Concrete/Architect,Base,CLIENTELE: You may treat your clients as if they were LABORER clients instead.,
Tower,Order,Concrete/Architect,Base,BUILDING STRUCTURES: You may spend only one action to build new structures on out-of-town sites.,BUILDING STRUCTURES: You may add RUBBLE to any type of structure.
Vomitorium,Order,Concrete/Architect,Base,THINK: You may first drain all the order cards in your hand and return all the JACK cards in your hand.,
Wall,Order,Concrete/Architect,Base,INFLUENCE: You get +1 point for every two materials in your stockpile when scoring.,INFLUENCE: Increased by +1 point for every two materials in your stockpile when scoring.
Senate,Order,Concrete/Architect,Imperium,"END OF ROUND: You may draw any JACK cards spent by other players. If more than one player has this function, they must do this in turn order.",
Aerarium,Order,Concrete/Architect,Promo,"COMPLETION: Give yourself or another player at least two points of influence. If you do, you may choose one of their completed structures and use its COMPLETION function again as if you had just completed it.",INFLUENCE: Your use the number of points that the player with the most influence points has except when scoring.
